key_regions	globalkey	localkey	length	length_norepeat	n_stepwise	%_stepwise	n_ascending	n_descending	bd	stepwise_bd	stepwise_chords	ascending_bd	ascending_chords	descending_bd	descending_chords	ixa	ixb
25	g	i	24	21	11	52.4	6	5	#3 4 5 6 4 5 2 1 5 2 1 6 4 2 1 #7 1 5 4 5 1	['#3 4 4 5 6', '4 5', '2 1', '2 1', '2 1 #7 1', '5 4 5 5']	['V65/iv iv(4) iv i64 ii%43', 'ii%65 V', 'V43 i', 'V43 V/iv', 'V43 i V65 i', 'V iv7 V(64) V']	['#3 4 4 5 6', '4 5', '#7 1', '4 5 5']	['V65/iv iv(4) iv i64 ii%43', 'ii%65 V', 'V65 i', 'iv7 V(64) V']	['2 1', '2 1', '2 1 #7', '5 4']	['V43 i', 'V43 V/iv', 'V43 i V65', 'V iv7']	('c01n04_gavotte', 29)	('c01n04_gavotte', 53)
26	G	I	23	23	14	60.9	10	4	1 2 3 1 4 3 1 4 3 2 1 2 3 6 7 1 4 5 6 4 5 7 1	['1 2 3', '4 3', '4 3 2 1 2 3', '6 7 1', '4 5 6', '4 5', '7']	['I V43 I6', 'IV I6', 'IV I6 V43 I V43 I6', 'IV6 V65 I', 'ii65 V ii43', 'ii65 V', 'V65']	['1 2 3', '1 2 3', '6 7 1', '4 5 6', '4 5', '7']	['I V43 I6', 'I V43 I6', 'IV6 V65 I', 'ii65 V ii43', 'ii65 V', 'V65']	['4 3', '4 3 2 1']	['IV I6', 'IV I6 V43 I']	('c01n05_gigue', 0)	('c01n05_gigue', 24)
27	G	V	28	27	12	44.4	5	7	5 7 1 7 1 5 6 7 5 1 7 5 1 7 5 1 7 5 1 7 5 1 7 6 4 5 1	['7 1 7 1', '5 6 7', '1 7', '1 7', '1 7', '1 7', '1 7 6', '4 5']	['V65 I V65 I', 'V IV6 V65', 'I V65', 'I V65', 'I V65', 'I V65', 'I V6 vi', 'ii65 V']	['7 1', '7 1', '5 6 7', '4 5']	['V65 I', 'V65 I', 'V IV6 V65', 'ii65 V']	['1 7', '1 7', '1 7', '1 7', '1 7', '1 7 6']	['I V65', 'I V65', 'I V65', 'I V65', 'I V65', 'I V6 vi']	('c01n05_gigue', 25)	('c01n05_gigue', 52)
28	G	I	5	5	3	60.0	1	2	7 1 6 5 4	['7 1', '6 5']	['V65 I', 'vi iii6']	['7 1']	['V65 I']	['6 5']	['vi iii6']	('c01n05_gigue', 53)	('c01n05_gigue', 57)
29	G	vi	16	15	5	33.3	3	2	5 #6 #7 5 1 #7 5 1 #7 5 1 6 4 5 1	['5 5 #6 #7', '1 #7', '1 #7', '4 5']	['V III6 IV6 V65', 'i V65', 'i V65', 'ii65 V']	['5 5 #6 #7', '4 5']	['V III6 IV6 V65', 'ii65 V']	['1 #7', '1 #7']	['i V65', 'i V65']	('c01n05_gigue', 58)	('c01n05_gigue', 73)
30	G	V	3	3	0	0.0	0	0	7 5 1	[]	[]	[]	[]	[]	[]	('c01n05_gigue', 74)	('c01n05_gigue', 76)
31	G	IV	3	3	0	0.0	0	0	7 5 1	[]	[]	[]	[]	[]	[]	('c01n05_gigue', 77)	('c01n05_gigue', 79)
32	G	ii	6	6	0	0.0	0	0	1 6 2 #7 5 1	[]	[]	[]	[]	[]	[]	('c01n05_gigue', 80)	('c01n05_gigue', 85)
33	G	I	50	50	18	36.0	10	8	7 1 6 5 7 1 5 6 7 5 1 2 3 1 4 2 #4 2 5 3 2 1 6 4 5 1 2 3 7 5 1 7 5 1 7 5 1 7 5 1 7 5 1 6 4 5 1 7 5 1	['7 1', '6 5', '7 1', '5 6 7', '1 2 3', '3 2 1', '4 5', '1 2 3', '1 7', '1 7', '1 7', '1 7', '4 5', '1 7']	['V65 I', 'V43/V V', 'V65 I', 'V IV6 V65', 'I V43 I6', 'I6 V43 I', 'ii65 V', 'I V43 iii', 'I V65', 'I V65', 'I V65', 'I V65', 'ii65 V', 'I V65']	['7 1', '7 1', '5 6 7', '1 2 3', '4 5', '1 2 3', '4 5']	['V65 I', 'V65 I', 'V IV6 V65', 'I V43 I6', 'ii65 V', 'I V43 iii', 'ii65 V']	['6 5', '3 2 1', '1 7', '1 7', '1 7', '1 7', '1 7']	['V43/V V', 'I6 V43 I', 'I V65', 'I V65', 'I V65', 'I V65', 'I V65']	('c01n05_gigue', 86)	('c01n05_gigue', 138)
34	g	i	21	20	11	55.0	3	8	1 6 5 6 5 4 3 4 3 2 1 #7 5 3 #7 1 3 5 3 6	['6 5 6 5 4 3 4 3 2 1 #7', '#7 1']	['ii%43 i64 ii%43 i64 #viio64 i6 #viio43 i6 V43 i V65', 'V65 i']	['5 6', '3 4', '#7 1']	['i64 ii%43', 'i6 #viio43', 'V65 i']	['6 5', '6 5 4 3', '4 3 2 1 #7']	['ii%43 i64', 'ii%43 i64 #viio64 i6', '#viio43 i6 V43 i V65']	('c01n06_menuet_en_trio', 0)	('c01n06_menuet_en_trio', 20)
35	g	III	9	8	3	37.5	3	0	#4 5 2 6 7 1 5 1	['#4 5', '6 7 1']	['V65/V V', 'vi V65 I']	['#4 5', '6 7 1']	['V65/V V', 'vi V65 I']	[]	[]	('c01n06_menuet_en_trio', 21)	('c01n06_menuet_en_trio', 29)
36	g	i	17	14	5	35.7	4	1	1 6 #3 4 5 3 #7 1 5 1 #7 1 5 1	['#3 4 5', '#7 1', '1 1 #7 1']	['V65/iv iv V', 'V65 i', 'i i V65 i']	['#3 4 5', '#7 1', '#7 1']	['V65/iv iv V', 'V65 i', 'V65 i']	['1 1 #7']	['i i V65']	('c01n06_menuet_en_trio', 30)	('c01n06_menuet_en_trio', 46)
37	D	I	24	19	9	47.4	5	4	1 7 6 7 1 5 6 4 6 5 3 4 5 1 4 1 3 2 5	['1 7 6 7 1 1', '5 5 6', '6 5', '3 4 5 5', '3 2']	['I V6 vi V65 I(4) I', 'V iii6 vi', 'ii43 V', 'I6 ii65 V(4) V', 'I6 V7/V']	['6 7 1 1', '5 5 6', '3 4 5 5']	['vi V65 I(4) I', 'V iii6 vi', 'I6 ii65 V(4) V']	['1 7 6', '6 5', '3 2']	['I V6 vi', 'ii43 V', 'I6 V7/V']	('c02n01_prelude', 0)	('c02n01_prelude', 23)
38	D	V	20	17	9	52.9	4	5	1 7 b7 6 7 1 4 6 5 6 4 6 5 1 4 5 1	['1 7 b7 6 6 7 1', '6 5 5 6', '6 5', '4 5 5']	['I V6 iii%43 IV6(2) IV6 V65 I', 'ii43 V iii6 vi', 'ii43 V', 'ii65 V(4) V']	['6 6 7 1', '5 5 6', '4 5 5']	['IV6(2) IV6 V65 I', 'V iii6 vi', 'ii65 V(4) V']	['1 7 b7 6 6', '6 5 5', '6 5']	['I V6 iii%43 IV6(2) IV6', 'ii43 V iii6', 'ii43 V']	('c02n01_prelude', 24)	('c02n01_prelude', 43)
39	D	I	20	18	9	50.0	3	6	3 4 2 4 3 1 3 2 5 1 7 b7 6 7 1 4 6 5	['3 4', '4 3', '3 2', '1 1 7 b7 6 6 7 1', '6']	['I6 IV', 'ii6 I6(2)', 'I6 ii7', 'I vi6 vii%7 iii%43 vi7 IV6 V65 I', 'ii43']	['3 4', '6 6 7 1']	['I6 IV', 'vi7 IV6 V65 I']	['4 3', '3 2', '1 1 7 b7 6 6', '6']	['ii6 I6(2)', 'I6 ii7', 'I vi6 vii%7 iii%43 vi7 IV6', 'ii43']	('c02n01_prelude', 44)	('c02n01_prelude', 63)
40	D	V	6	3	0	0.0	0	0	1 5 1	[]	[]	[]	[]	[]	[]	('c02n01_prelude', 64)	('c02n01_prelude', 69)
41	D	I	18	17	5	29.4	4	1	5 6 4 7 5 1 2 7 2 3 4 6 5 3 1 5 1	['5 6', '1 2', '2 3 4', '6 5']	['iii6 vi', 'I V43', 'V43 I6 ii65', 'ii43 V']	['5 6', '1 2', '2 3 4']	['iii6 vi', 'I V43', 'V43 I6 ii65']	['6 5']	['ii43 V']	('c02n01_prelude', 70)	('c02n01_prelude', 87)
42	D	I	17	17	6	35.3	0	6	5 3 2 1 7 5 4 3 2 5 3 1 5 7 5 1 6	['3 2 1 7', '5 4 3 2']	['I6 V43 I V65', 'I64 V2 I6 V43']	[]	[]	['3 2 1 7', '5 4 3 2']	['I6 V43 I V65', 'I64 V2 I6 V43']	('c02n02_allemande_fuguee', 0)	('c02n02_allemande_fuguee', 16)
43	D	V	30	28	10	35.7	3	7	5 3 1 4 6 5 3 2 1 7 1 7 6 5 1 3 4 2 5 3 6 4 7 5 1 4 5 1	['6 5 5', '3 2 1 7 1 7 6 5', '3 4', '4 5 5']	['ii43 V V', 'I6 V43 I V65 I V6 V43/V V', 'I6 ii65', 'ii65 V V7']	['7 1', '3 4', '4 5 5']	['V65 I', 'I6 ii65', 'ii65 V V7']	['6 5 5', '3 2 1 7', '1 7 6 5']	['ii43 V V', 'I6 V43 I V65', 'I V6 V43/V V']	('c02n02_allemande_fuguee', 17)	('c02n02_allemande_fuguee', 46)
44	D	IV	14	12	2	16.7	2	0	5 6 4 7 5 3 1 4 5 1 5 1	['5 6', '4 4 5']	['V IV6(2)', 'IV ii65 V']	['5 6', '4 4 5']	['V IV6(2)', 'IV ii65 V']	[]	[]	('c02n02_allemande_fuguee', 48)	('c02n02_allemande_fuguee', 61)
45	D	ii	24	20	5	25.0	2	3	3 4 2 5 1 7 6 4 6 5 #6 4 #7 5 1 3 5 1 5 1	['3 4', '1 1 7 7 6 6', '6 5 5 #6']	['i6 iv7(9)', 'i iv43 VII7 IIIM43 VIM7 iv6', 'ii%43 V III+6 #vi%7']	['3 4', '5 5 #6']	['i6 iv7(9)', 'V III+6 #vi%7']	['1 1 7 7 6 6', '6 5 5']	['i iv43 VII7 IIIM43 VIM7 iv6', 'ii%43 V III+6']	('c02n02_allemande_fuguee', 62)	('c02n02_allemande_fuguee', 85)
46	D	V	6	6	0	0.0	0	0	5 3 5 2 5 1	[]	[]	[]	[]	[]	[]	('c02n02_allemande_fuguee', 86)	('c02n02_allemande_fuguee', 91)
47	D	I	29	24	8	33.3	4	4	5 6 4 7 5 3 1 7 5 7 6 5 #4 2 5 6 7 1 4 2 5 1 5 1	['5 6', '1 1 7', '7 6 5 #4', '5 5 6 6 7 7 1']	['V IV6(2)', 'I IV64 vii%7', 'V6 vi7 I64 V65/V', 'V iii6 vi IV6 viio7 V65 I']	['5 6', '5 5 6 6 7 7 1']	['V IV6(2)', 'V iii6 vi IV6 viio7 V65 I']	['1 1 7', '7 6 5 #4']	['I IV64 vii%7', 'V6 vi7 I64 V65/V']	('c02n02_allemande_fuguee', 92)	('c02n02_allemande_fuguee', 120)
48	d	i	18	18	6	33.3	3	3	1 #3 4 5 #6 3 #7 5 1 3 2 1 6 5 1 5 3 1	['#3 4 5 #6', '3 2 1', '6 5']	['V65/iv iv III+6 ii43', 'i6 V43 i', 'ii%43 V']	['#3 4 5 #6']	['V65/iv iv III+6 ii43']	['3 2 1', '6 5']	['i6 V43 i', 'ii%43 V']	('c02n03_air_tendre', 0)	('c02n03_air_tendre', 17)
49	d	III	2	2	0	0.0	0	0	3 5	[]	[]	[]	[]	[]	[]	('c02n03_air_tendre', 19)	('c02n03_air_tendre', 20)
50	d	iv	7	6	1	16.7	0	1	4 2 1 5 1 4	['2 1']	['V43 i']	[]	[]	['2 1']	['V43 i']	('c02n03_air_tendre', 21)	('c02n03_air_tendre', 28)
51	d	i	7	7	4	57.1	3	1	3 5 6 4 3 4 5	['5 6', '4 3 4']	['III+6 VI', 'ii%65 i6 ii%65']	['5 6', '3 4']	['III+6 VI', 'i6 ii%65']	['4 3']	['ii%65 i6']	('c02n03_air_tendre', 29)	('c02n03_air_tendre', 35)
52	d	III	18	14	7	50.0	3	4	1 7 b7 6 7 1 #4 2 4 3 1 4 5 1	['1 1 7 b7 b7 6 7 1 1', '4 3', '4 5 5']	['I V2/V V6 v6 V2/IV IV6 V65 I(4) I', 'V2 I6', 'ii65 V V7']	['6 7 1 1', '4 5 5']	['IV6 V65 I(4) I', 'ii65 V V7']	['1 1 7 b7 b7 6', '4 3']	['I V2/V V6 v6 V2/IV IV6', 'V2 I6']	('c02n03_air_tendre', 36)	('c02n03_air_tendre', 53)
53	d	i	31	27	11	40.7	10	1	6 4 5 3 1 #7 1 #6 #7 1 5 1 5 1 5 #6 #7 1 5 6 4 2 #7 3 4 5 1	['4 4 5 5', '1 #7 1', '#6 #7 1 1', '5 #6 #7 1', '5 6', '3 4 5 5']	['ii%65 ii6 v V', 'i V65 I', 'IV6 V65 i(4) i', 'V #vi%7 V65 i', 'V iv6', 'i6 ii%65 V V7']	['4 4 5 5', '#7 1', '#6 #7 1 1', '5 #6 #7 1', '5 6', '3 4 5 5']	['ii%65 ii6 v V', 'V65 I', 'IV6 V65 i(4) i', 'V #vi%7 V65 i', 'V iv6', 'i6 ii%65 V V7']	['1 #7']	['i V65']	('c02n03_air_tendre', 55)	('c02n03_air_tendre', 85)
54	d	i	6	6	2	33.3	2	0	5 2 3 5 #7 1	['2 3', '#7']	['V43 i6', 'V65']	['2 3', '#7']	['V43 i6', 'V65']	[]	[]	('c02n04_air_contrefugue', 0)	('c02n04_air_contrefugue', 5)
55	d	III	12	11	4	36.4	4	0	3 4 1 5 6 3 4 7 1 5 1	['3 4', '5 6', '3 4', '7 1']	['I6 IV', 'iii6 vi', 'I6 IV', 'V65 I']	['3 4', '5 6', '3 4', '7 1']	['I6 IV', 'iii6 vi', 'I6 IV', 'V65 I']	[]	[]	('c02n04_air_contrefugue', 6)	('c02n04_air_contrefugue', 17)
56	d	iv	4	4	2	50.0	1	1	#6 5 #7 1	['#6 5', '#7']	['IV6 V7', 'V65']	['#7']	['V65']	['#6 5']	['IV6 V7']	('c02n04_air_contrefugue', 19)	('c02n04_air_contrefugue', 22)
57	d	v	29	27	7	25.9	2	5	6 5 1 4 7 3 6 2 5 #7 1 5 1 4 #7 4 3 #6 2 6 5 3 2 1 4 5 1	['6 5', '#7 1', '4 3', '6 5', '3 2 1', '4 5 5']	['iv6 V7', 'V65 i', 'V2 i6', 'ii%43 V', 'i6 V43 i', 'ii65 V V7']	['#7 1', '4 5 5']	['V65 i', 'ii65 V V7']	['6 5', '4 3', '6 5', '3 2 1']	['iv6 V7', 'V2 i6', 'ii%43 V', 'i6 V43 i']	('c02n04_air_contrefugue', 23)	('c02n04_air_contrefugue', 51)
58	d	i	6	6	3	50.0	3	0	5 #7 1 2 3 1	['#7 1 2 3']	['V65 i V43 i6']	['#7 1 2 3']	['V65 i V43 i6']	[]	[]	('c02n04_air_contrefugue', 52)	('c02n04_air_contrefugue', 57)
59	d	iv	17	16	4	25.0	4	0	5 2 3 5 #7 1 4 #7 3 #6 2 5 6 4 5 1	['2 3', '#7 1', '5 6', '4 5 5']	['V43 i6', 'V65 i', 'V7 VI', 'ii%65 V V7']	['2 3', '#7 1', '5 6', '4 5 5']	['V43 i6', 'V65 i', 'V7 VI', 'ii%65 V V7']	[]	[]	('c02n04_air_contrefugue', 58)	('c02n04_air_contrefugue', 74)
60	d	VII	16	15	6	40.0	6	0	5 7 1 2 3 1 6 1 3 4 6 3 4 5 1	['7 1 2 3', '3 4', '3 4 5 5']	['V65 I V43 I6', 'V65/IV IV', 'I6 ii65 V V7']	['7 1 2 3', '3 4', '3 4 5 5']	['V65 I V43 I6', 'V65/IV IV', 'I6 ii65 V V7']	[]	[]	('c02n04_air_contrefugue', 75)	('c02n04_air_contrefugue', 90)
61	d	i	62	60	20	33.3	13	7	7 2 3 5 6 1 2 4 5 #7 1 6 5 1 5 4 #7 4 1 6 3 2 #7 1 5 2 3 5 #7 1 #3 4 #3 6 4 #7 3 #6 2 #7 5 #6 #7 1 5 1 5 4 #7 4 3 #6 2 6 5 3 1 4 5 1	['2 3', '5 6', '1 2', '4 5', '#7 1', '6 5', '5 4', '3 2', '#7 1', '2 3', '#7 1', '#3 4 #3', '5 #6 #7 1', '5 4', '4 3', '6 5', '4 5 5']	['V65/III III', 'III+6 VI', 'VI6 iio', 'ii6 V', 'V65 i', 'iv6 V', 'i64 IV7', 'iv2 V43', 'V65 i', 'V43 i6', 'V65 i', 'V65/iv iv V65/iv', 'V7 #vi%7 V65 i', 'i64 IV7', 'V2 i6', 'ii%43 V', 'ii%65 V V7']	['2 3', '5 6', '1 2', '4 5', '#7 1', '#7 1', '2 3', '#7 1', '#3 4', '5 #6 #7 1', '4 5 5']	['V65/III III', 'III+6 VI', 'VI6 iio', 'ii6 V', 'V65 i', 'V65 i', 'V43 i6', 'V65 i', 'V65/iv iv', 'V7 #vi%7 V65 i', 'ii%65 V V7']	['6 5', '5 4', '3 2', '4 #3', '5 4', '4 3', '6 5']	['iv6 V', 'i64 IV7', 'iv2 V43', 'iv V65/iv', 'i64 IV7', 'V2 i6', 'ii%43 V']	('c02n04_air_contrefugue', 91)	('c02n04_air_contrefugue', 153)
62	D	I	36	32	10	31.2	10	0	1 6 4 5 1 6 4 5 1 5 6 4 5 1 5 1 5 6 4 5 1 6 7 5 1 5 6 7 1 5 1 6	['4 5', '4 5 5', '5 6', '4 5 5', '5 6', '4 5 5', '6 7', '5 6 7 1']	['ii65 V', 'ii65 V V7', 'V7 vi', 'ii65 V V7', 'V7 vi', 'ii65 V V7', 'vi V65', 'V IV6 V65 I']	['4 5', '4 5 5', '5 6', '4 5 5', '5 6', '4 5 5', '6 7', '5 6 7 1']	['ii65 V', 'ii65 V V7', 'V7 vi', 'ii65 V V7', 'V7 vi', 'ii65 V V7', 'vi V65', 'V IV6 V65 I']	[]	[]	('c02n05_echos', 0)	('c02n05_echos', 36)
63	D	V	16	15	3	20.0	3	0	7 3 7 1 5 1 3 1 6 2 7 1 4 5 1	['7 1', '7 1', '4 5']	['V65 I', 'V65 I', 'ii65 V']	['7 1', '7 1', '4 5']	['V65 I', 'V65 I', 'ii65 V']	[]	[]	('c02n05_echos', 37)	('c02n05_echos', 54)
64	D	I	24	22	6	27.3	6	0	3 1 6 4 5 1 6 4 5 1 5 6 4 5 1 5 1 5 6 4 5 1	['4 5', '4 5 5', '5 6', '4 5', '5 6', '4 5 5']	['ii65 V', 'ii65 V V7', 'V7 vi', 'ii65 V', 'V vi', 'ii65 V V7']	['4 5', '4 5 5', '5 6', '4 5', '5 6', '4 5 5']	['ii65 V', 'ii65 V V7', 'V7 vi', 'ii65 V', 'V vi', 'ii65 V V7']	[]	[]	('c02n05_echos', 55)	('c02n05_echos', 78)
65	D	vi	13	10	6	60.0	3	3	1 #7 1 #3 4 #3 4 1 6 5	['1 1 #7 1', '#3 4 #3 4 4', '6 6']	['i ii%2 V65 i', '#viio/iv iv #viio/iv iv iio6', 'VIM7 ii%43']	['#7 1', '#3 4', '#3 4 4']	['V65 i', '#viio/iv iv', '#viio/iv iv iio6']	['1 1 #7', '4 #3', '6 6']	['i ii%2 V65', 'iv #viio/iv', 'VIM7 ii%43']	('c02n05_echos', 79)	('c02n05_echos', 91)
66	D	ii	4	4	3	75.0	3	0	5 #6 #7 1	['5 #6 #7']	['V IV6 V6']	['5 #6 #7']	['V IV6 V6']	[]	[]	('c02n05_echos', 92)	('c02n05_echos', 95)
67	D	I	5	5	2	40.0	1	1	5 1 7 1 5	['1 7 1']	['I V65 I']	['7 1']	['V65 I']	['1 7']	['I V65']	('c02n05_echos', 96)	('c02n05_echos', 100)
68	D	V	11	8	2	25.0	1	1	4 3 6 2 7 1 5 1	['4 4 4 3', '7 1 1']	['IV ii6 V2 I6', 'V65 I(4) I']	['7 1 1']	['V65 I(4) I']	['4 4 4 3']	['IV ii6 V2 I6']	('c02n05_echos', 101)	('c02n05_echos', 111)
